Linux 6.8.0-60-generic (masterserver) 	21/06/25 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:54:43        0     88845    0,00    0,00    0,00    0,00    0,00     8  kworker/u65:1-events_unbound
03:54:43        0     88981    0,00    0,00    0,00    0,00    0,00     7  kworker/u66:3-events_power_efficient
03:54:43     1000     89004    0,99    1,98    0,00    0,00    2,97     9  htop
03:54:43        0     89236    0,00    0,00    0,00    0,00    0,00     7  kworker/u66:2-flush-8:0
03:54:43     1000     89614    0,00    0,00    0,00    0,00    0,00     7  bash
03:54:43     1000     89774    0,99    0,00    0,00    0,00    0,99     9  nvtop
03:54:43        0     90001    0,00    0,00    0,00    0,00    0,00    10  kworker/u65:3-events_power_efficient
03:54:43     1000     90081    0,00    0,00    0,00    0,00    0,00     2  sleep
03:54:43     1000     90226    0,00    0,00    0,00    0,00    0,00     4  bash
03:54:43     1000     90229    0,00    0,00    0,00    0,00    0,00     9  nvidia-smi
03:54:43     1000     90230    0,00    0,99    0,00    0,00    0,99    14  pidstat
03:54:43     1000     90231    0,00    0,00    0,00    0,00    0,00    10  time
03:54:43     1000     90232  176,24   17,82    0,00    0,00  194,06    15  python

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:54:44        0         1    0,00    0,00    0,00    0,00    0,00    10  systemd
03:54:44        0         2    0,00    0,00    0,00    0,00    0,00    11  kthreadd
03:54:44        0         3    0,00    0,00    0,00    0,00    0,00     0  pool_workqueue_release
03:54:44        0         4    0,00    0,00    0,00    0,00    0,00     0  kworker/R-rcu_g
03:54:44        0         5    0,00    0,00    0,00    0,00    0,00     0  kworker/R-rcu_p
03:54:44        0         6    0,00    0,00    0,00    0,00    0,00     0  kworker/R-slub_
